SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE,MMR1,MMR2 
6018469,LOS ANGELES,PUBLIC,64733,ONE HUNDRED EIGHTEENT,96,1,0,92,95
6018477,LOS ANGELES,PUBLIC,64733,ONE HUNDRED EIGHTY-SI,130,0,0,125,97
6018493,LOS ANGELES,PUBLIC,64733,ONE HUNDRED FIFTY-SIX,56,0,0,56,55
6018501,LOS ANGELES,PUBLIC,64733,ONE HUNDRED FIFTY-THI,84,0,0,84,81
6018519,LOS ANGELES,PUBLIC,64733,ONE HUNDRED NINTH STR,75,0,0,74,70
6018535,LOS ANGELES,PUBLIC,64733,ONE HUNDRED SEVENTH S,154,0,0,150,143
6018543,LOS ANGELES,PUBLIC,64733,ONE HUNDRED SIXTEENTH,67,0,0,62,39
6018550,LOS ANGELES,PUBLIC,64733,ONE HUNDRED THIRTY-FI,151,0,0,151,137
6018568,LOS ANGELES,PUBLIC,64733,ONE HUNDRED TWELFTH S,89,0,0,89,88
6018576,LOS ANGELES,PUBLIC,64733,ONE HUNDRED TWENTY-SE,99,0,0,99,99
6097927,LOS ANGELES,PUBLIC,64733,OPEN CHARTER,36,0,1,34,34
6018592,LOS ANGELES,PUBLIC,64733,OSCEOLA STREET ELEM.,67,0,0,67,66
6018618,LOS ANGELES,PUBLIC,64733,OVERLAND AVE. ELEM.,73,0,0,73,73
6018626,LOS ANGELES,PUBLIC,64733,OXNARD STREET ELEM.,107,0,0,107,103
109322,LOS ANGELES,PUBLIC,64733,PACIFIC BOULEVARD,74,0,0,74,74
115246,LOS ANGELES,PUBLIC,64733,PACIFICA COMMUNITY CH,22,0,6,16,16
6018642,LOS ANGELES,PUBLIC,64733,PACOIMA CHARTER,175,0,0,175,173
6018634,LOS ANGELES,PUBLIC,64733,PALISADES CHARTER,78,1,8,58,53
6018659,LOS ANGELES,PUBLIC,64733,PALMS ELEM.,70,0,0,69,68
6120489,LOS ANGELES,PUBLIC,64733,PARA LOS NINOS CHARTE,59,0,0,59,58
6018667,LOS ANGELES,PUBLIC,64733,PARK AVE. ELEM.,86,0,0,86,82
6018675,LOS ANGELES,PUBLIC,64733,PARK WESTERN PLACE EL,85,0,1,84,84
6115810,LOS ANGELES,PUBLIC,64733,PARKS/HUERTA PRIMARY,90,0,0,89,87
6018683,LOS ANGELES,PUBLIC,64733,PARMELEE AVE. ELEM.,163,0,0,163,162
6018691,LOS ANGELES,PUBLIC,64733,PARTHENIA ELEM.,104,1,0,103,100
6018709,LOS ANGELES,PUBLIC,64733,PASEO DEL REY FUNDAME,39,0,0,32,26
6018717,LOS ANGELES,PUBLIC,64733,PINEWOOD AVE. ELEM.,68,0,0,67,62
6107064,LOS ANGELES,PUBLIC,64733,PIO PICO ELEM.,128,0,0,120,92
6018725,LOS ANGELES,PUBLIC,64733,PLAINVIEW AVE. ELEM.,64,0,0,63,61
6016638,LOS ANGELES,PUBLIC,64733,PLASENCIA ELEM. & PLA,132,0,0,132,129
6018741,LOS ANGELES,PUBLIC,64733,PLAYA DEL REY ELEM.,44,0,0,44,42
6018758,LOS ANGELES,PUBLIC,64733,PLUMMER ELEM.,128,0,1,127,125
6018766,LOS ANGELES,PUBLIC,64733,POINT FERMIN ELEM.,52,0,0,52,51
6110266,LOS ANGELES,PUBLIC,64733,POLITI (LEO) ELEM.,131,0,0,131,131
6018774,LOS ANGELES,PUBLIC,64733,POMELO DRIVE ELEM.,99,0,2,92,81
6018790,LOS ANGELES,PUBLIC,64733,PRESIDENT AVE. ELEM.,72,0,0,64,51
6116842,LOS ANGELES,PUBLIC,64733,PRIMARY ACADEMY,135,0,0,129,122
6018808,LOS ANGELES,PUBLIC,64733,PURCHE AVE. ELEM.,67,0,0,67,67
6018816,LOS ANGELES,PUBLIC,64733,QUEEN ANNE PLACE ELEM,77,0,0,73,66
6018824,LOS ANGELES,PUBLIC,64733,RAMONA ELEM.,117,1,1,114,112
6018832,LOS ANGELES,PUBLIC,64733,RANCHITO AVE. ELEM.,89,0,0,83,65
6018840,LOS ANGELES,PUBLIC,64733,RAYMOND AVE. ELEM.,91,0,0,87,68
6018857,LOS ANGELES,PUBLIC,64733,RESEDA ELEM.,75,0,0,75,74
101618,LOS ANGELES,PUBLIC,64733,RICHARD RIORDAN PRIMA,144,0,0,142,140
6018873,LOS ANGELES,PUBLIC,64733,RICHLAND AVE. ELEM.,39,0,1,37,37
6018907,LOS ANGELES,PUBLIC,64733,RIO VISTA ELEM.,54,1,4,44,30
