SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6025340,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,MITCHELL ELEMENTARY,80,0,1,74
6113161,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,PEGGY HELLER ELEMENTARY,97,0,2,92
6025365,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,SHAFFER ELEMENTARY,97,1,1,92
6025373,MERCED,PUBLIC,ATWATER ELEMENTARY,ATWATER,THOMAS OLAETA ELEMENTARY,78,0,4,73
6025399,MERCED,PUBLIC,BALLICO-CRESSEY ELEMENTARY,CRESSEY,CRESSEY ELEMENTARY,42,0,0,42
6025407,MERCED,PUBLIC,DELHI UNIFIED,DELHI,EL CAPITAN ELEMENTARY,47,0,0,46
105817,MERCED,PUBLIC,DELHI UNIFIED,DELHI,HARMONY ELEMENTARY,130,0,0,125
6025415,MERCED,PUBLIC,DELHI UNIFIED,DELHI,SCHENDEL ELEMENTARY,91,0,1,90
6025431,MERCED,PUBLIC,DOS PALOS ORO LOMA JOINT UNIFIED,DOS PALOS,DOS PALOS ELEMENTARY,225,0,0,224
6025456,MERCED,PUBLIC,EL NIDO ELEMENTARY,EL NIDO,EL NIDO ELEMENTARY,25,0,0,25
6025720,MERCED,PUBLIC,GUSTINE UNIFIED,GUSTINE,GUSTINE ELEMENTARY,113,0,1,112
6025746,MERCED,PUBLIC,GUSTINE UNIFIED,SANTA NELLA,ROMERO ELEMENTARY,51,0,0,50
6025464,MERCED,PUBLIC,HILMAR UNIFIED,HILMAR,ELIM ELEMENTARY,164,0,1,159
6025472,MERCED,PUBLIC,HILMAR UNIFIED,STEVINSON,MERQUIN ELEMENTARY,26,0,0,20
6025498,MERCED,PUBLIC,LE GRAND UNION ELEMENTARY,LE GRAND,LE GRAND ELEMENTARY,35,0,2,33
6025506,MERCED,PUBLIC,LIVINGSTON UNION,LIVINGSTON,CAMPUS PARK ELEMENTARY,97,0,1,95
