SCHOOL CODE,COUNTY,PUBLIC/  PRIVATE,PUBLIC SCHOOL DISTRICT,CITY,SCHOOL NAME,ENROLLMENT,PME,PBEß,MMR1
6095376,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,MARIN ELEMENTARY,84,0,9,64
6116222,ALAMEDA,PUBLIC,ALBANY CITY UNIFIED,ALBANY,OCEAN VIEW ELEMENTARY,152,0,4,108
6097729,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY ARTS MAGNET AT WHITTIER, ,,,
122804,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,BERKELEY SPECIAL EDUCATION PRESCHOOL, ,,,
6090195,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,CRAGMONT ELEMENTARY,80,0,6,68
6090211,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,EMERSON ELEMENTARY,61,0,0,53
6090252,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JEFFERSON ELEMENTARY,102,0,16,79
6105316,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,JOHN MUIR ELEMENTARY,58,1,1,52
6090278,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,LECONTE ELEMENTARY, ,,,
6090286,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,MALCOLM X ELEMENTARY,127,0,10,117
6090302,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,OXFORD ELEMENTARY,40,0,0,37
6090187,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,ROSA PARKS ENVIRONMENTAL SCIENCE MAGNET,63,0,0,59
6090310,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,THOUSAND OAKS ELEMENTARY,63,0,0,61
6090328,ALAMEDA,PUBLIC,BERKELEY UNIFIED,BERKELEY,WASHINGTON ELEMENTARY,74,0,2,66
6090351,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CASTRO VALLEY ELEMENTARY,119,0,0,106
6090369,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,CHABOT ELEMENTARY,73,0,1,72
6090393,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,INDEPENDENT ELEMENTARY,115,1,0,114
6113005,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,JENSEN RANCH ELEMENTARY,68,0,0,67
6090401,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,MARSHALL ELEMENTARY,69,0,0,64
6090419,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PALOMARES ELEMENTARY,20,0,0,20
6090435,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,PROCTOR ELEMENTARY,81,0,0,81
6090468,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,STANTON ELEMENTARY,92,0,0,91
6090484,ALAMEDA,PUBLIC,CASTRO VALLEY UNIFIED,CASTRO VALLEY,VANNOY ELEMENTARY,57,0,1,54
6001374,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,DUBLIN ELEMENTARY,159,1,3,132
6001390,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,FREDERIKSEN ELEMENTARY,151,0,2,146
123935,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,HAROLD WILLIAM KOLB,195,3,3,188
6118038,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JAMES DOUGHERTY ELEMENTARY,188,0,2,177
114579,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,JOHN GREEN ELEMENTARY,152,1,3,148
6001424,ALAMEDA,PUBLIC,DUBLIN UNIFIED,DUBLIN,MURRAY ELEMENTARY,87,0,2,83
6090492,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,ANNA YATES ELEMENTARY,62,0,3,37
119933,ALAMEDA,PUBLIC,EMERY UNIFIED,EMERYVILLE,EMERYVILLE PRESCHOOL STUDENTS, ,,,
6104723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,ARDENWOOD ELEMENTARY,160,0,1,154
6000558,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BRIER ELEMENTARY,137,0,2,134
6089320,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,BROOKVALE ELEMENTARY,206,0,5,200
6000566,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,CABRILLO ELEMENTARY,49,0,1,48
6000590,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,E. M. GRIMMER ELEMENTARY,47,0,1,46
6111330,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FOREST PARK ELEMENTARY,120,0,1,119
6106983,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,FRED E. WEIBEL ELEMENTARY,137,0,0,135
6000624,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,GLENMOOR ELEMENTARY,105,0,3,92
6000640,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,HARVEY GREEN ELEMENTARY,81,0,1,80
6000665,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,J. HALEY DURHAM ELEMENTARY,140,0,0,140
6000673,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JAMES LEITCH ELEMENTARY,269,0,3,263
6000541,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN BLACOW ELEMENTARY,78,0,1,71
6000723,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN G. MATTOS ELEMENTARY,72,0,1,71
6066468,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOHN GOMES ELEMENTARY,114,0,1,113
6000681,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSEPH AZEVADA ELEMENTARY,100,0,5,95
6090526,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,JOSHUA CHADBOURNE ELEMENTARY,96,0,1,94
6090534,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION SAN JOSE ELEMENTARY,91,1,1,88
6000749,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,MISSION VALLEY ELEMENTARY,48,0,1,47
6000756,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,NILES ELEMENTARY,96,1,2,92
6000764,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,O. N. HIRSCH ELEMENTARY,48,0,0,48
6090542,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,OLIVEIRA ELEMENTARY,105,1,2,102
6000798,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PARKMONT ELEMENTARY,168,0,2,166
6000806,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,PATTERSON ELEMENTARY,82,0,2,78
6090559,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,STEVEN MILLARD ELEMENTARY,79,0,0,78
6000715,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,TOM MALONEY ELEMENTARY,114,0,4,107
6000830,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,VALLEJO MILL ELEMENTARY,96,0,1,95
6089619,ALAMEDA,PUBLIC,FREMONT UNIFIED,FREMONT,WARWICK ELEMENTARY,118,0,0,117
119842,ALAMEDA,PUBLIC,HAYWARD UNIFIED,CASTRO VALLEY,SPECIAL EDUCATION-PRESCHOOL-LAUREL, ,,,
6062160,ALAMEDA,PUBLIC,HAYWARD UNIFIED,CASTRO VALLEY,STROBRIDGE ELEMENTARY,89,0,0,86
6000889,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BOWMAN ELEMENTARY,60,0,0,60
6000905,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,BURBANK ELEMENTARY,118,0,0,118
6000913,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,CHERRYLAND ELEMENTARY,107,0,0,98
6000921,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EAST AVENUE ELEMENTARY,85,0,0,85
6090583,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,EDEN GARDENS ELEMENTARY,67,1,0,66
6000947,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,ELDRIDGE ELEMENTARY,56,0,0,55
6000962,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAIRVIEW ELEMENTARY,110,0,0,106
6113815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,FAITH RINGGOLD SCHOOL OF ARTS AND SCIENCE,20,0,0,20
6000988,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,GLASSBROOK ELEMENTARY,121,0,0,118
6000996,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,HARDER ELEMENTARY,82,0,0,82
127696,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,KNOWLEDGE ENLIGHTENS YOU -KEY- ACADEMY,25,0,0,24
6001044,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LONGWOOD ELEMENTARY,101,0,0,94
6001051,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,LORIN A. EDEN ELEMENTARY,48,0,0,48
6001093,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PALMA CEIA ELEMENTARY,71,0,0,71
6001101,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,PARK ELEMENTARY,88,0,0,88
6001127,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,RUUS ELEMENTARY,111,0,0,109
6001135,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SCHAFER PARK ELEMENTARY,136,0,2,133
6001176,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,SOUTHGATE ELEMENTARY,108,0,0,95
111815,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,STONEBRAE ELEMENTARY,92,0,0,88
6001192,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TREEVIEW ELEMENTARY,87,0,0,86
6104566,ALAMEDA,PUBLIC,HAYWARD UNIFIED,HAYWARD,TYRRELL ELEMENTARY,105,0,0,99
6117543,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ALTAMONT CREEK ELEMENTARY,82,0,4,78
6071906,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,ARROYO SECO ELEMENTARY,108,0,0,108
6001259,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,EMMA C. SMITH ELEMENTARY,99,0,3,94
6001283,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JACKSON AVENUE ELEMENTARY,121,0,3,118
6001291,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JOE MICHELL,117,0,2,104
6001234,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,JUNCTION K-8,69,0,1,67
6110332,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LEO R. CROCE ELEMENTARY,115,0,3,112
107839,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,LIVERMORE VALLEY CHARTER,120,0,6,114
6001317,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,MARYLIN AVENUE ELEMENTARY,88,0,1,87
6089338,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,RANCHO LAS POSITAS ELEMENTARY,102,0,2,99
6097661,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,SUNSET ELEMENTARY,111,0,2,107
130393,ALAMEDA,PUBLIC,LIVERMORE VALLEY JOINT UNIFIED,LIVERMORE,VINEYARD ALTERNATIVE, ,,,
6001606,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,HAYWARD,HILLVIEW CREST ELEMENTARY,118,0,0,113
6001572,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,ALVARADO ELEMENTARY,151,0,0,147
126763,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,DECOTO SCHOOL FOR INDEPENDENT STUDY, ,,,
6118525,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,DELAINE EASTIN ELEMENTARY,142,0,0,136
6115554,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,GUY JR. EMANUELE ELEMENTARY,114,0,1,111
6101604,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,PIONEER ELEMENTARY,167,0,2,160
6001622,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,SEARLES ELEMENTARY,141,0,0,135
6115505,ALAMEDA,PUBLIC,NEW HAVEN UNIFIED,UNION CITY,TOM KITAYAMA ELEMENTARY,172,0,1,166
6001440,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,AUGUST SCHILLING ELEMENTARY,49,0,0,45
130484,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,CROSSROADS HIGH -ALTERNATIVE-, ,,,
6001457,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,E. L. MUSICK ELEMENTARY,72,0,0,72
6001473,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,H. A. SNOW ELEMENTARY,46,0,0,42
6001481,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,JAMES A. GRAHAM ELEMENTARY,50,0,1,41
6001499,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,JAMES L. BUNKER ELEMENTARY,74,0,1,72
6001507,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,JOHN F. KENNEDY ELEMENTARY,49,3,0,46
6001523,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,LINCOLN ELEMENTARY,99,1,1,93
6001531,ALAMEDA,PUBLIC,NEWARK UNIFIED,NEWARK,LOUIS MILANI ELEMENTARY,48,0,0,46
6002273,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ACORN WOODLAND ELEMENTARY,56,0,0,53
6001630,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ALLENDALE ELEMENTARY,91,0,0,48
114363,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,40,0,0,34
6118608,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASCEND,48,0,0,45
109819,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE BERKLEY MAYNARD ACADEMY,65,0,1,64
128413,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE COLLEGE ACADEMY,45,0,1,44
120188,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE ERES ACADEMY,22,0,0,22
108803,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE MILLSMONT ACADEMY, ,,,
6117568,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE MONARCH ACADEMY,66,1,0,65
130732,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ASPIRE TRIUMPH TECHNOLOGY ACADEMY,43,0,0,41
6001655,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BELLA VISTA ELEMENTARY,113,0,0,82
6002075,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BRIDGES ACADEMY,88,0,0,27
6001663,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BROOKFIELD ELEMENTARY,54,0,0,32
6001689,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,BURCKHALTER ELEMENTARY,33,0,0,29
6001697,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CARL B. MUNCK ELEMENTARY,48,0,0,47
6001648,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CHABOT ELEMENTARY,101,0,2,94
6001739,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CLEVELAND ELEMENTARY,71,0,0,71
115204,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,COMMUNITY UNITED ELEMENTARY,96,0,0,93
114454,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CONSERVATORY OF VOCAL INSTRUMENTAL ARTS,23,0,0,23
6001754,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,CROCKER HIGHLANDS ELEMENTARY,68,2,1,65
100123,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND LEADERSHIP ACADEMY,27,0,0,27
115600,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EAST OAKLAND PRIDE ELEMENTARY,54,0,0,22
6001812,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,EMERSON ELEMENTARY,74,0,1,70
102988,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ENCOMPASS ACADEMY ELEMENTARY,54,0,0,15
6002190,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,ESPERANZA ELEMENTARY,56,0,0,54
6001820,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRANKLIN ELEMENTARY,125,0,0,124
112813,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRED T. KOREMATSU DISCOVERY ACADEMY,95,0,0,90
6001838,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FRUITVALE ELEMENTARY,67,0,0,63
115576,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,FUTURES ELEMENTARY,51,0,0,49
6001846,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GARFIELD ELEMENTARY,147,0,0,113
6001853,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLENVIEW ELEMENTARY,77,0,0,15
115584,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GLOBAL FAMILY,98,0,0,98
6001879,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GRASS VALLEY ELEMENTARY,63,0,0,42
115618,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,GREENLEAF ELEMENTARY,94,0,0,23
6001911,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HILLCREST ELEMENTARY,44,0,0,44
121376,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOME AND HOSPITAL PROGRAM, ,,,
6057046,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOOVER ELEMENTARY,72,0,0,35
6001929,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HORACE MANN ELEMENTARY,92,0,0,79
6001713,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,HOWARD ELEMENTARY,45,0,0,34
6114011,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"INDEPENDENT STUDY, SOJOURNER TRUTH", ,,,
121210,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,INFANT AND PRESCHOOL PROGRAM, ,,,
6118616,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,INTERNATIONAL COMMUNITY,50,0,0,40
6001945,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,JOAQUIN MILLER ELEMENTARY,77,0,0,66
6001895,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,KAISER ELEMENTARY,56,0,1,54
6096523,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LA ESCUELITA ELEMENTARY,64,0,0,53
6001978,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAFAYETTE ELEMENTARY,27,0,0,24
6001994,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LAUREL ELEMENTARY,102,0,0,27
115592,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LEARNING WITHOUT LIMITS,72,0,0,72
130633,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LIGHTHOUSE COMMUNITY CHARTER,48,0,0,48
6002018,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,LINCOLN ELEMENTARY,110,0,0,105
6002182,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MADISON PARK ACADEMY TK-5,66,0,0,63
6002042,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA COMMUNITY,71,0,0,58
110247,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MANZANITA SEED,100,0,0,93
6002059,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MARKHAM ELEMENTARY,100,0,0,86
6072235,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,"MARTIN LUTHER KING, JR. ELEMENTARY",67,0,0,36
6118640,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MELROSE LEADERSHIP ACADEMY,73,0,0,50
6002083,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,MONTCLAIR ELEMENTARY,106,0,1,91
6001903,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NEW HIGHLAND ACADEMY,95,0,0,84
6117972,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,NORTH OAKLAND COMMUNITY CHARTER,22,0,0,19
6002091,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PARKER ELEMENTARY,64,0,0,41
6002109,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PERALTA ELEMENTARY,54,0,5,47
6002117,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PIEDMONT AVENUE ELEMENTARY,58,0,0,45
6002125,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PREPARATORY LITERARY ACADEMY OF CULTURAL EXCELLENCE,55,0,0,44
110239,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REACH ACADEMY,90,0,0,65
6002141,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REDWOOD HEIGHTS ELEMENTARY,52,0,0,50
6117394,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,REEMS -ERNESTINE C.- ACADEMY OF TECHNOLOGY AND ART, ,,,
110262,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,RISE COMMUNITY,44,0,0,39
110254,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SANKOFA ACADEMY,57,1,1,42
6002174,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,SEQUOIA ELEMENTARY,96,0,0,87
100792,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,THINK COLLEGE NOW,50,1,0,45
6002216,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,THORNHILL ELEMENTARY,77,0,0,11
123711,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,VINCENT ACADEMY,24,0,1,23
109983,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,WORLD ACADEMY, ,,,
6002281,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,BEACH ELEMENTARY,40,0,1,39
6002299,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,HAVENS ELEMENTARY,63,0,1,62
6002307,ALAMEDA,PUBLIC,PIEDMONT CITY UNIFIED,PIEDMONT,WILDWOOD ELEMENTARY,41,2,1,37
6002315,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,ALISAL ELEMENTARY,104,0,1,102
130013,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,AMADOR VALLEY ADULT AND COMMUNITY EDUCATION, ,,,
6001366,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,DONLON ELEMENTARY,112,0,0,110
6002323,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,FAIRLANDS ELEMENTARY,140,0,1,138
6114318,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,HENRY P. MOHR ELEMENTARY,100,0,0,99
6001416,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,LYDIKSEN ELEMENTARY,110,0,4,105
6117600,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,PHOEBE APPERSON HEARST ELEMENTARY,103,0,1,102
6002349,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,VALLEY VIEW ELEMENTARY,77,8,0,68
6089361,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,VINTAGE HILLS ELEMENTARY,105,1,0,102
6002356,ALAMEDA,PUBLIC,PLEASANTON UNIFIED,PLEASANTON,WALNUT GROVE ELEMENTARY,107,0,5,102
6002372,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,GARFIELD ELEMENTARY,62,0,2,60
6002398,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,JEFFERSON ELEMENTARY,96,0,0,96
6002414,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MADISON ELEMENTARY,60,0,1,59
6002422,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MCKINLEY ELEMENTARY,83,0,1,82
6002430,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,MONROE ELEMENTARY,60,0,0,59
6002448,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,ROOSEVELT ELEMENTARY,83,0,4,77
6002455,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,WASHINGTON ELEMENTARY,47,0,0,47
6002463,ALAMEDA,PUBLIC,SAN LEANDRO UNIFIED,SAN LEANDRO,WILSON ELEMENTARY,108,0,1,105
6002521,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,HAYWARD,COLONIAL ACRES ELEMENTARY,137,0,0,137
6002653,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,HAYWARD,LORENZO MANOR ELEMENTARY,122,0,3,116
6002539,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LEANDRO,CORVALLIS ELEMENTARY,96,0,0,93
6002620,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LEANDRO,HILLSIDE ELEMENTARY,107,0,1,105
6002505,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,BAY ELEMENTARY,94,0,0,91
6002547,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,DAYTON ELEMENTARY,95,0,3,87
6002554,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,DEL REY ELEMENTARY,102,0,0,98
6002604,ALAMEDA,PUBLIC,SAN LORENZO UNIFIED,SAN LORENZO,GRANT ELEMENTARY,89,0,1,87
