SCHOOL CODE,COUNTY,PUB/ PRIV,DISTRICT CODE,SCHOOL,ENROLLMENT,PME,PBE§,MMR1 ,2 MMR‡ 
7083397,ALAMEDA,PRIVATE,61259,GROWING LIGHT,20,0,0,20,20
6932925,ALAMEDA,PRIVATE,61259,HEAD-ROYCE ATTN:LOWER,38,0,0,38,38
7072606,ALAMEDA,PRIVATE,61259,ILE OMODE,10,0,2,8,8
6906549,ALAMEDA,PRIVATE,61259,MILLS COLLEGE CHILDRE,11,0,1,9,9
7054018,ALAMEDA,PRIVATE,61259,NORTHERN LIGHT,13,0,0,13,13
7081524,ALAMEDA,PRIVATE,61259,OAKLAND HEBREW DAY SC,20,0,2,18,18
6998470,ALAMEDA,PRIVATE,61259,PARK DAY,30,0,1,27,23
6933022,ALAMEDA,PRIVATE,61259,PATTEN ACADEMY,10,0,0,9,7
6967517,ALAMEDA,PRIVATE,61259,SAINT ANTHONY'S ELEM.,26,0,0,26,22
6972939,ALAMEDA,PRIVATE,61259,SAINT ELIZABETH'S ELE,31,0,0,31,29
6972962,ALAMEDA,PRIVATE,61259,SAINT JARLATH'S ELEM.,14,0,0,12,12
6973002,ALAMEDA,PRIVATE,61259,SAINT LAWRENCE O'TOOL,21,0,0,19,15
6973010,ALAMEDA,PRIVATE,61259,SAINT LEO THE GREAT S,24,0,0,24,24
6967491,ALAMEDA,PRIVATE,61259,SAINT MARTIN DE PORRE,28,0,0,28,28
6960694,ALAMEDA,PRIVATE,61259,SAINT PAUL'S EPISCOPA,42,0,0,42,42
6967533,ALAMEDA,PRIVATE,61259,SAINT THERESA SCH.,32,0,0,32,32
6994107,ALAMEDA,PRIVATE,61259,SAINT VINCENTS' DAY H,31,0,0,31,31
6203814,ALAMEDA,PRIVATE,61259,STARLITE SCHOOL,23,0,0,23,23
7092463,ALAMEDA,PRIVATE,61259,THE RENAISSANCE SCHOO,23,0,0,23,21
7055254,ALAMEDA,PRIVATE,61259,TREEHOUSE FIRST COVEN,22,1,0,21,21
6972574,ALAMEDA,PRIVATE,61291,ASSUMPTION ELEM.,32,0,0,32,32
7072317,ALAMEDA,PRIVATE,61291,"PRINCIPLED ACADEMY, T",13,0,1,12,12
6970636,ALAMEDA,PRIVATE,61291,SAINT LEANDER,22,1,0,21,20
6972624,ALAMEDA,PRIVATE,61309,CALVARY LUTHERAN ELEM,18,0,0,18,11
6906556,ALAMEDA,PRIVATE,61309,CAMELOT - CASTRO VALL,11,0,0,11,11
6932800,ALAMEDA,PRIVATE,61309,CHINESE CHRTN.,44,0,0,44,44
6903454,ALAMEDA,PRIVATE,61309,MONTESSORI PRESCHOOL,12,0,2,10,10
6972947,ALAMEDA,PRIVATE,61309,SAINT FELICITAS SCH.,31,0,0,31,31
6995641,ALAMEDA,PRIVATE,75093,FOUNTAINHEAD MONTESSO,10,0,0,10,10
7085798,ALAMEDA,PRIVATE,75093,MONTESSORI CHILDREN'S,11,0,0,11,8
7103989,ALAMEDA,PRIVATE,75093,"QUARRY LANE SCHOOL, T",33,0,0,33,32
6959878,ALAMEDA,PRIVATE,75093,SAINT PHILIP LUTHERAN,12,0,0,12,10
6972657,ALAMEDA,PRIVATE,75093,VALLEY CHRTN. ELEM SC,62,0,2,58,56
6977425,ALAMEDA,PRIVATE,75101,CARDEN WEST,42,0,0,41,34
9101508,ALAMEDA,PRIVATE,75101,KINDER-CARE #878,17,0,0,17,17
7078769,ALAMEDA,PRIVATE,75101,THE QUARRY LANE SCH.,14,0,0,14,11
6002810,AMADOR,PUBLIC,73981,IONE ELEM.,78,0,1,77,77
6002828,AMADOR,PUBLIC,73981,JACKSON ELEM.,65,0,3,62,62
6002844,AMADOR,PUBLIC,73981,PINE GROVE ELEM.,33,0,0,33,33
6002851,AMADOR,PUBLIC,73981,PIONEER ELEM.,32,0,2,30,30
6002869,AMADOR,PUBLIC,73981,PLYMOUTH ELEM.,59,0,6,53,53
6002877,AMADOR,PUBLIC,73981,SUTTER CREEK ELEM.,44,0,0,44,43
6119523,BUTTE,PUBLIC,10041,BLUE OAK CHARTER,78,0,18,39,31
114991,BUTTE,PUBLIC,10041,CORE BUTTE CHARTER,33,0,8,25,23
9904002,BUTTE,PUBLIC,10041,FOUR WINDS SCHOOL,20,0,0,20,20
6069256,BUTTE,PUBLIC,10041,MESA VISTA SPECIAL ED,10,0,0,10,10
